method,split,accuracy,precision,recall,f1,svm_train_time_s,encoder_time_s,encoder_params,svm_params,total_params,n_sv,n_features,n_train,n_val,n_test
TF-IDF,train,0.8475345718675793,0.8641562723037559,0.8022316153488974,0.8245533855779388,6806.6093603,3.725713099999666,1500,29814703,29816203,19850,1500,28636,8183,4092
TF-IDF,val,0.740926310644018,0.7463161303849096,0.6720646606334005,0.6922977443251007,6806.6093603,3.725713099999666,1500,29814703,29816203,19850,1500,28636,8183,4092
TF-IDF,test,0.7512218963831867,0.7646743878470404,0.685984065277334,0.7082398273006915,6806.6093603,3.725713099999666,1500,29814703,29816203,19850,1500,28636,8183,4092
Doc2Vec,train,0.7528635284257578,0.810361453703031,0.6731153893287903,0.7023249173850697,1601.4111520999995,298.62514610000017,2052000,4722359,6774359,23378,200,28636,8183,4092
Doc2Vec,val,0.628498105829158,0.633383174897053,0.5281908586091183,0.528556929988936,1601.4111520999995,298.62514610000017,2052000,4722359,6774359,23378,200,28636,8183,4092
Doc2Vec,test,0.6392961876832844,0.6500362483288549,0.5393293392977597,0.5407758219880497,1601.4111520999995,298.62514610000017,2052000,4722359,6774359,23378,200,28636,8183,4092
XLM-RoBERTa,train,0.9950761279508311,0.9952122108170899,0.9941807074611549,0.9946940373935615,348.1876276999992,6207.642383800001,278045955,3223993,281269948,4187,768,28636,8183,4092
XLM-RoBERTa,val,0.9798362458755957,0.980325033988647,0.977262248559963,0.9787703781096552,348.1876276999992,6207.642383800001,278045955,3223993,281269948,4187,768,28636,8183,4092
XLM-RoBERTa,test,0.9811827956989247,0.9813950074690155,0.9796814357226542,0.9805313855859815,348.1876276999992,6207.642383800001,278045955,3223993,281269948,4187,768,28636,8183,4092
